Precision,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
fp16,question_000,16,2,2,785,0.11347852647304535,0.11430966854095459,0.002358437282964587,0.006372824311256409,33.40625,33.412498474121094,0.02253497764468193,0.0625
fp16,question_000,16,2,3,4859,0.013766507618129253,0.01377943716943264,0.0005242684273980558,0.001973222941160202,31.296875,31.296249389648438,0.04385695978999138,0.140625
fp16,question_000,16,2,4,40,0.006302766036242247,0.006363801658153534,6.625558307860047e-05,0.0001821722835302353,30.515625,30.52437400817871,0.012945196591317654,0.046875
fp16,question_000,16,2,5,1654,0.0008529867045581341,0.000844235997647047,1.2231448636157438e-05,3.651547012850642e-05,28.515625,28.50437355041504,0.008291568607091904,0.03125
fp16,question_000,16,2,6,32313,0.00033929463825188577,0.0003399600100237876,6.575279257958755e-06,1.9931350834667683e-05,27.59375,27.59468650817871,0.010082589462399483,0.046875
fp16,question_000,16,2,7,80022,9.131991828326136e-05,9.175928425975144e-05,1.9216265627619578e-06,5.472109478432685e-06,26.28125,26.28499984741211,0.01062498427927494,0.03125
fp16,question_000,16,2,8,71486,2.0060324459336698e-05,2.0043620679643936e-05,4.092389644938521e-07,1.1784140951931477e-06,24.765625,24.763750076293945,0.011110249906778336,0.03125
fp16,question_000,16,2,9,9454,9.184285772789735e-06,9.181493624055292e-06,1.3846357660440844e-07,3.993618520325981e-07,23.984375,23.983123779296875,0.011197861284017563,0.046875
fp16,question_000,16,2,10,101140,7.265367457875982e-06,7.2203533818537835e-06,1.203411841288471e-07,3.1815352485864423e-07,23.75,23.74281120300293,0.01333542075008154,0.046875
fp16,question_000,16,3,1,11,0.9998352527618408,0.9998332858085632,2.2065948996896623e-06,8.344650268554688e-06,26.890625,26.903749465942383,0.010986517183482647,0.03125
fp16,question_000,16,3,2,3405,0.00011060561519116163,0.00011275023280177265,1.9194123979104916e-06,7.132497557904571e-06,17.78125,17.81343650817871,0.01859571412205696,0.078125
fp16,question_000,16,3,3,102108,3.647385892691091e-05,3.620449570007622e-05,4.866768108513497e-07,1.1399388313293457e-06,16.671875,16.677499771118164,0.010250749066472054,0.03125
fp16,question_000,16,3,4,323,3.237239070585929e-06,3.21598895425268e-06,5.2962118246568934e-08,1.7772936189430766e-07,14.25,14.2564058303833,0.012272350490093231,0.0546875
fp16,question_000,16,3,5,114637,2.2955464373808354e-06,2.3436130049958592e-06,3.312716501113755e-08,1.101570887840353e-07,13.90625,13.9399995803833,0.013571267016232014,0.0390625
fp16,question_000,16,3,6,15846,2.1904256755078677e-06,2.233563691333984e-06,3.592203867697208e-08,1.4015176930115558e-07,13.859375,13.891874313354492,0.014265891164541245,0.0625
fp16,question_000,16,3,7,3491,2.0417010091478005e-06,2.0669124296546215e-06,4.58492550592382e-08,1.475555109209381e-07,13.7890625,13.814218521118164,0.023608235642313957,0.0859375
fp16,question_000,16,3,8,374,1.6277859913316206e-06,1.6042429251683643e-06,2.4954397659371352e-08,6.284597020567162e-08,13.5625,13.56093692779541,0.011048492975533009,0.0390625
fp16,question_000,16,3,9,13,1.2876847677034675e-06,1.3043534181633731e-06,1.3211284510816768e-08,5.1284359869896434e-08,13.328125,13.3540620803833,0.007564774248749018,0.046875
fp16,question_000,16,3,10,315,1.0346838053010288e-06,1.0386887652202859e-06,1.5794032748317477e-08,4.887681370746577e-08,13.109375,13.126249313354492,0.010523419827222824,0.046875
fp16,question_000,16,4,1,279,0.6828151345252991,0.6816542744636536,0.002521615708246827,0.0082741379737854,27.140625,27.10906219482422,0.010121310129761696,0.03125
fp16,question_000,16,4,2,20321,0.19871053099632263,0.19987432658672333,0.001954819308593869,0.00694611668586731,25.90625,25.882186889648438,0.014048632234334946,0.046875
fp16,question_000,16,4,3,358,0.08817726373672485,0.08852459490299225,0.00047995353816077113,0.0013018026947975159,25.09375,25.067811965942383,0.007401762064546347,0.015625
fp16,question_000,16,4,4,18876,0.030000803992152214,0.02964881807565689,0.0006213734159246087,0.0020294953137636185,24.015625,23.9737491607666,0.0230573657900095,0.078125
fp16,question_000,16,4,5,4859,5.1914830692112446e-05,5.2169489208608866e-05,4.63902296132801e-07,1.7530292097944766e-06,17.65625,17.631250381469727,0.012103073298931122,0.046875
fp16,question_000,16,4,6,582,4.303890455048531e-05,4.333083052188158e-05,3.392372036614688e-07,1.826305378926918e-06,17.46875,17.44562530517578,0.008970552124083042,0.03125
fp16,question_000,16,4,7,1133,4.2371644667582586e-05,4.2980020225513726e-05,3.1532519528809644e-07,1.0189942258875817e-06,17.453125,17.4375,0.014320535585284233,0.046875
fp16,question_000,16,4,8,61943,4.1714734834386036e-05,4.186766454949975e-05,4.3880874045498786e-07,1.3190729077905416e-06,17.4375,17.4112491607666,0.00728873535990715,0.015625
fp16,question_000,16,4,9,19091,3.7392848753370345e-05,3.789505717577413e-05,3.7804159092047485e-07,1.0669864423107356e-06,17.328125,17.311561584472656,0.009062467142939568,0.03125
fp16,question_000,16,4,10,576,3.1487932574236766e-05,3.120950350421481e-05,1.6614089304312074e-07,5.011461325921118e-07,17.15625,17.11750030517578,0.007806359324604273,0.015625
fp16,question_000,16,5,1,3405,0.8504071831703186,0.8543171286582947,0.0016965713584795594,0.006902515888214111,35.25,35.27000045776367,0.014999913983047009,0.03125
fp16,question_000,16,5,2,3491,0.12640173733234406,0.12270325422286987,0.0016740865539759398,0.006736584007740021,33.34375,33.32937240600586,0.01557476818561554,0.03125
fp16,question_000,16,5,3,1196,0.021289529278874397,0.02111007645726204,0.00025783106684684753,0.0006444975733757019,31.5625,31.569374084472656,0.017995230853557587,0.0625
fp16,question_000,16,5,4,20321,0.0014947594609111547,0.0014710885006934404,1.8300155716133304e-05,4.608428571373224e-05,28.90625,28.905624389648438,0.006218659691512585,0.03125
fp16,question_000,16,5,5,18876,0.0001841904886532575,0.0001819812459871173,3.8050209241191624e-06,1.3258744729682803e-05,26.8125,26.815624237060547,0.016536038368940353,0.046875
fp16,question_000,16,5,6,19124,0.00015510394587181509,0.00014989152259659022,3.6381150039233034e-06,1.1097421520389616e-05,26.640625,26.62156105041504,0.019337235018610954,0.0625
fp16,question_000,16,5,7,4265,3.0068273190408945e-05,2.9973400160088204e-05,3.486864272872481e-07,9.416253305971622e-07,25.0,25.01218605041504,0.010955330915749073,0.046875
fp16,question_000,16,5,8,1133,1.7132386346929707e-05,1.669949597271625e-05,2.7336690777701733e-07,7.137168722692877e-07,24.4375,24.427186965942383,0.020398786291480064,0.0625
fp16,question_000,16,5,9,3239,7.031117092992645e-06,6.892332748975605e-06,1.2564829887651285e-07,3.20801973430207e-07,23.546875,23.542186737060547,0.012203504331409931,0.03125
fp16,question_000,16,5,10,1849,5.475839316204656e-06,5.289542059472296e-06,9.865173211665024e-08,3.065611053898465e-07,23.296875,23.27750015258789,0.01670057326555252,0.046875
fp16,question_000,16,6,1,374,0.9999982118606567,0.999998152256012,6.491040238643109e-08,1.1920928955078125e-07,37.9375,37.87874984741211,0.01484286691993475,0.0625
fp16,question_000,16,6,2,911,1.553497554596106e-06,1.5741395600343822e-06,1.9312688337436157e-08,4.931291641696589e-08,24.5625,24.516874313354492,0.014604201540350914,0.046875
fp16,question_000,16,6,3,4436,7.380223365771599e-08,7.694085724097022e-08,1.0016061313677938e-09,3.5976199797005393e-09,21.515625,21.498437881469727,0.00468749413266778,0.015625
fp16,question_000,16,6,4,17601,6.933078822157768e-08,7.08661787029996e-08,5.432910787916967e-10,1.1090008911196492e-09,21.453125,21.416250228881836,0.013169573619961739,0.046875
fp16,question_000,16,6,5,12506,4.7650310364133475e-08,4.879703041638095e-08,3.807942849931578e-10,7.622062980772171e-10,21.078125,21.04312515258789,0.01484293956309557,0.0625
fp16,question_000,16,6,6,572,3.2749547074217844e-08,3.3413908084867217e-08,4.3126349713595857e-10,1.5716814516508748e-09,20.703125,20.66437530517578,0.007806221954524517,0.015625
fp16,question_000,16,6,7,20412,1.9863604094894072e-08,2.0284435464645867e-08,1.505124497258592e-10,3.177351715066834e-10,20.203125,20.165311813354492,0.01329130306839943,0.046875
fp16,question_000,16,6,8,2727,2.4476760618341586e-09,2.5192692376663217e-09,3.190241820716366e-11,7.892131392850388e-11,18.109375,18.079374313354492,0.012823916040360928,0.03125
fp16,question_000,16,6,9,525,1.8476028484926132e-09,1.919648218162706e-09,3.074899362909278e-11,9.006440038206165e-11,17.828125,17.807498931884766,0.01145642064511776,0.03125
fp16,question_000,16,6,10,16555,1.4845905615956667e-09,1.5346935944293705e-09,1.7754081191312387e-11,7.236911070407359e-11,17.609375,17.583749771118164,0.01025077048689127,0.046875
fp16,question_000,16,7,1,911,0.9999995231628418,0.9999995231628418,2.52881093842916e-08,1.1920928955078125e-07,40.28125,40.268123626708984,0.018843483179807663,0.0625
fp16,question_000,16,7,2,101888,4.1811870232777437e-07,4.248782659033168e-07,5.987889295511195e-09,1.975482177840604e-08,25.59375,25.596561431884766,0.011562461964786053,0.046875
fp16,question_000,16,7,3,9096,8.543239893299415e-09,8.675804075153337e-09,1.1295960000712313e-10,4.036397882600795e-10,21.703125,21.705312728881836,0.011271747760474682,0.03125
fp16,question_000,16,7,4,9975,4.718025525818348e-09,4.7598183172681274e-09,5.5998455872341424e-11,2.2291191115186848e-10,21.109375,21.104999542236328,0.00990187656134367,0.03125
fp16,question_000,16,7,5,10494,5.723614360242379e-10,5.75991809803611e-10,6.904453571376923e-12,2.662303710820879e-11,19.0,18.99312400817871,0.008926739916205406,0.03125
fp16,question_000,16,7,6,128265,5.211410192274002e-10,5.342294384647062e-10,8.156807694559287e-12,3.3089531115138016e-11,18.90625,18.91781234741211,0.00815507210791111,0.03125
fp16,question_000,16,7,7,8826,2.62046134791305e-10,2.670488830069928e-10,4.7974211409007594e-12,1.663846838084737e-11,18.21875,18.224374771118164,0.01389134582132101,0.0625
fp16,question_000,16,7,8,57975,1.540489957818636e-10,1.5449916346277348e-10,2.2353366987276635e-12,7.165504301021031e-12,17.6875,17.677186965942383,0.007401672191917896,0.015625
fp16,question_000,16,7,9,110737,1.1095731972110556e-10,1.1240165742609776e-10,1.7452729799555255e-12,5.242382916659238e-12,17.359375,17.35906219482422,0.009626772254705429,0.046875
fp16,question_000,16,7,10,389,1.0423475971244045e-10,1.0539817629773296e-10,1.8962915005610315e-12,8.209287416516275e-12,17.296875,17.294687271118164,0.006994722876697779,0.03125
fp16,question_000,16,8,1,20321,0.9970968961715698,0.9970582127571106,4.0891703974921256e-05,0.00011307001113891602,35.46875,35.471248626708984,0.02783888950943947,0.0625
fp16,question_000,16,8,2,264,0.002147325314581394,0.0021827358286827803,3.696122803376056e-05,0.00010125921107828617,29.328125,29.346874237060547,0.01900867559015751,0.0625
fp16,question_000,16,8,3,18876,0.0007537820492871106,0.0007571166497655213,9.42723545449553e-06,2.3589411284774542e-05,28.28125,28.288124084472656,0.019555624574422836,0.0625
fp16,question_000,16,8,4,279,8.036054737203813e-07,8.099367505565169e-07,9.814450585565737e-09,5.021456672693603e-08,21.4375,21.447811126708984,0.021334823220968246,0.046875
fp16,question_000,16,8,5,61943,3.4562643236313306e-07,3.421062899633398e-07,1.0013791573726394e-08,2.6788796958499006e-08,20.59375,20.58562469482422,0.007806180510669947,0.015625
fp16,question_000,16,8,6,2724,3.349926487317134e-07,3.3294918466708623e-07,6.14340045501649e-09,1.5558640598101192e-08,20.5625,20.55875015258789,0.012326976284384727,0.03125
fp16,question_000,16,8,7,16715,1.5578602585719636e-07,1.566185829915412e-07,1.6524005497231542e-09,7.2427184250045684e-09,19.796875,19.8046875,0.020787697285413742,0.046875
fp16,question_000,16,8,8,1133,1.533708058332195e-07,1.5233950989568257e-07,2.789203534803164e-09,9.579736115483684e-09,19.78125,19.776874542236328,0.02481180615723133,0.078125
fp16,question_000,16,8,9,4859,1.0541010198039658e-07,1.0578561671081843e-07,1.878505795360752e-09,4.977444234555151e-09,19.40625,19.412187576293945,0.013217665255069733,0.046875
fp16,question_000,16,8,10,458,3.758513145157849e-08,3.75299613608604e-08,6.099643568013846e-10,1.749011602214523e-09,18.375,18.37593650817871,0.013767778873443604,0.03125
fp16,question_000,16,9,1,2248,0.9999986886978149,0.9999986886978149,5.679669357050443e-08,1.1920928955078125e-07,35.09375,35.114376068115234,0.014803392812609673,0.03125
fp16,question_000,16,9,2,2356,4.4508462337944366e-07,4.374759612346679e-07,9.93717996777832e-09,2.7390882451072684e-08,20.46875,20.471874237060547,0.017399273812770844,0.046875
fp16,question_000,16,9,3,40452,1.4677334547741339e-07,1.4646334989265597e-07,1.7703868371299336e-09,6.827065135439625e-09,19.359375,19.377811431884766,0.011132225394248962,0.03125
fp16,question_000,16,9,4,25610,1.4005210857703787e-07,1.3755025918271713e-07,1.9551944507867347e-09,6.514440542559896e-09,19.3125,19.314998626708984,0.011422344483435154,0.03125
fp16,question_000,16,9,5,299,1.0087574509043407e-07,1.0186855803340222e-07,1.4777323809056497e-09,6.305754141067155e-09,18.984375,19.014686584472656,0.014459720812737942,0.046875
fp16,question_000,16,9,6,89244,9.625630781329164e-08,9.567864367454604e-08,2.0651229615253897e-09,6.01698957325425e-09,18.9375,18.951873779296875,0.015885356813669205,0.046875
fp16,question_000,16,9,7,441,7.496448972688086e-08,7.41287706773619e-08,6.56660170683665e-10,2.3064146148499276e-09,18.6875,18.696874618530273,0.0076546436175704,0.015625
fp16,question_000,16,9,8,129568,7.380226918485278e-08,7.2213829582779e-08,1.1042335934519087e-09,3.3796396792240557e-09,18.671875,18.670623779296875,0.011197879910469055,0.03125
fp16,question_000,16,9,9,8370,6.615593406422704e-08,6.563759313849005e-08,1.4885208621251422e-09,5.12950748543517e-09,18.5625,18.57499885559082,0.02025223895907402,0.046875
fp16,question_000,16,9,10,81,6.513027983601205e-08,6.396834351107827e-08,1.0064079569716e-09,2.982531555062451e-09,18.546875,18.549375534057617,0.016044341027736664,0.0625
fp16,question_000,16,10,1,2356,1.0,1.0,0.0,0.0,44.3125,44.28312301635742,0.03771286457777023,0.15625
fp16,question_000,16,10,2,9156,5.079998574575306e-11,5.0169344373296454e-11,1.2698271253941407e-12,5.5157579892384234e-12,20.609375,20.56718635559082,0.02504870295524597,0.078125
fp16,question_000,16,10,3,290,4.2777878461741636e-11,4.238160863923035e-11,1.570666556885425e-12,5.8811323866425624e-12,20.4375,20.39812469482422,0.02078540436923504,0.109375
fp16,question_000,16,10,4,89244,2.3257928569164754e-11,2.360251750987974e-11,6.102929034530746e-13,2.6054609858494615e-12,19.828125,19.81312370300293,0.02252599224448204,0.0625
fp16,question_000,16,10,5,3295,1.958514080080409e-11,1.9571717510546982e-11,4.4085519739986423e-13,1.5424831550925333e-12,19.65625,19.62593650817871,0.02527393214404583,0.078125
fp16,question_000,16,10,6,33595,8.690853592341341e-12,8.718074005764631e-12,2.1800615512043015e-13,8.150667640816067e-13,18.84375,18.81718635559082,0.01855366863310337,0.0625
fp16,question_000,16,10,7,72,7.550743884310318e-12,7.749844169180342e-12,2.1834429067297406e-13,8.458685141210509e-13,18.703125,18.69937515258789,0.01940530352294445,0.0625
fp16,question_000,16,10,8,685,5.1090889331695255e-12,5.218787641619871e-12,1.826267950885349e-13,5.634698437007035e-13,18.3125,18.303749084472656,0.020530160516500473,0.0625
fp16,question_000,16,10,9,815,3.796752842677442e-12,3.776623111462207e-12,9.322298250187544e-14,3.5055573895104164e-13,18.015625,17.98062515258789,0.018634909763932228,0.0625
fp16,question_000,16,10,10,930,1.909127153240653e-12,1.887841445669114e-12,4.9989438315797136e-14,2.0728926387880708e-13,17.328125,17.287187576293945,0.027579842135310173,0.078125
fp16,question_000,16,11,1,11,0.9045783281326294,0.9020434617996216,0.0013956036418676376,0.003511190414428711,40.34375,40.32062530517578,0.018551098182797432,0.0625
fp16,question_000,16,11,2,19124,0.06155732646584511,0.06268098950386047,0.0014690184034407139,0.0037871450185775757,37.65625,37.65374755859375,0.02487463504076004,0.09375
fp16,question_000,16,11,3,72094,0.029077624902129173,0.03027728945016861,0.00045297128963284194,0.0010344237089157104,36.90625,36.92625045776367,0.014999964274466038,0.03125
fp16,question_000,16,11,4,13,0.0020415696781128645,0.0021032653748989105,2.6575384254101664e-05,0.00013298052363097668,34.25,34.25937271118164,0.017951836809515953,0.0625
fp16,question_000,16,11,5,3259,0.0020415696781128645,0.002179964678362012,9.19040830922313e-05,0.0002766221296042204,34.25,34.29437255859375,0.04243120551109314,0.125
fp16,question_000,16,11,6,32199,0.0004279362328816205,0.0004310666408855468,5.991364105284447e-06,1.4893856132403016e-05,32.6875,32.674373626708984,0.015423652715981007,0.03125
fp16,question_000,16,11,7,323,0.0001433406723663211,0.00015079333388712257,4.095349595445441e-06,1.13384157884866e-05,31.59375,31.623748779296875,0.026853235438466072,0.078125
fp16,question_000,16,11,8,25,9.254769247490913e-05,9.178098116535693e-05,1.3851628182237619e-06,5.673333362210542e-06,31.15625,31.127498626708984,0.012639808468520641,0.078125
fp16,question_000,16,11,9,9142,2.569956996012479e-05,2.6777186576509848e-05,4.3670402760653815e-07,1.2233995221322402e-06,29.875,29.8956241607666,0.017798788845539093,0.0625
fp16,question_000,16,11,10,89456,5.471753866004292e-06,5.945746124780271e-06,2.0162552516467258e-07,7.19747731636744e-07,28.328125,28.39031219482422,0.036375079303979874,0.125
fp16,question_000,16,12,1,892,0.992950439453125,0.9929682016372681,0.00014962461136747152,0.00043320655822753906,37.71875,37.73374938964844,0.017941035330295563,0.0625
fp16,question_000,16,12,2,458,0.006902825087308884,0.006883036345243454,0.00014975378871895373,0.0004285401664674282,32.75,32.76187515258789,0.017555663362145424,0.0625
fp16,question_000,16,12,3,537,0.00012064001202816144,0.00012290618906263262,2.163486669815029e-06,7.685870514251292e-06,28.703125,28.736562728881836,0.02538958005607128,0.078125
fp16,question_000,16,12,4,14122,1.4408393326448277e-05,1.4089585420151707e-05,2.0625378738259315e-07,6.568461685674265e-07,26.578125,26.57062530517578,0.01093307975679636,0.046875
fp16,question_000,16,12,5,323,4.67772088086349e-06,4.749397703562863e-06,9.255723654177928e-08,2.9600005291285925e-07,25.453125,25.483123779296875,0.020213671028614044,0.046875
fp16,question_000,16,12,6,1380,4.0010668271861505e-06,3.9977421693038195e-06,5.287860105340769e-08,1.8694754544412717e-07,25.296875,25.310937881469727,0.016010906547307968,0.0625
fp16,question_000,16,12,7,264,2.0118629890930606e-06,2.0136824332439573e-06,4.596339309159703e-08,1.5557566257484723e-07,24.609375,24.625,0.012884736061096191,0.046875
fp16,question_000,16,12,8,4428,5.007922254662844e-07,5.097905955153692e-07,1.2357613599078832e-08,5.5995656111917924e-08,23.21875,23.251249313354492,0.02945469319820404,0.109375
fp16,question_000,16,12,9,19124,1.81374943508672e-07,1.863966048176735e-07,2.696255663181546e-09,8.66492655404727e-09,22.203125,22.245311737060547,0.018553653731942177,0.046875
fp16,question_000,16,12,10,714,6.992626566670879e-08,7.186306305584367e-08,1.089911161322732e-09,4.4404231402950245e-09,21.25,21.292186737060547,0.01957806758582592,0.0625
fp16,question_000,16,13,1,374,0.9995356798171997,0.9995534420013428,1.3474725164996926e-05,4.118680953979492e-05,43.125,43.15687561035156,0.026138165965676308,0.0625
fp16,question_000,16,13,2,17167,0.00045831012539565563,0.00044055303442291915,1.340447306574788e-05,4.0996819734573364e-05,35.4375,35.42937469482422,0.025625096634030342,0.0625
fp16,question_000,16,13,3,702,3.44499039783841e-06,3.432566700212192e-06,5.286942084126167e-08,1.601943040441256e-07,30.546875,30.57499885559082,0.024803832173347473,0.078125
fp16,question_000,16,13,4,17601,1.3919019465902238e-06,1.3872538602299755e-06,1.69770348890097e-08,4.347930371295661e-08,29.640625,29.6690616607666,0.022897964343428612,0.0625
fp16,question_000,16,13,5,5646,6.574879876097839e-07,6.540498134199879e-07,6.668284591171414e-09,2.0547531676129438e-08,28.890625,28.917186737060547,0.018553681671619415,0.046875
fp16,question_000,16,13,6,358,1.611243476418167e-07,1.621072840407578e-07,2.583566471869858e-09,7.612712238369568e-09,27.484375,27.522186279296875,0.01501624658703804,0.046875
fp16,question_000,16,13,7,14056,1.1248292253185355e-07,1.1316189585386383e-07,1.2627845435986274e-09,5.235250455370988e-09,27.125,27.162811279296875,0.024624085053801537,0.078125
fp16,question_000,16,13,8,73057,9.772686127007546e-08,9.706619863436572e-08,1.1807538280450558e-09,4.545768206298817e-09,26.984375,27.009374618530273,0.02296399511396885,0.0625
fp16,question_000,16,13,9,52191,6.115590878152943e-08,6.154762388632662e-08,9.39674893452036e-10,3.822918870355352e-09,26.515625,26.553749084472656,0.02146029658615589,0.078125
fp16,question_000,16,13,10,458,4.404894582421548e-08,4.372213169290262e-08,3.66507380000769e-10,1.3552572397657059e-09,26.1875,26.21187400817871,0.02076653763651848,0.0625
fp16,question_000,16,14,1,1075,0.6435875296592712,0.6411918997764587,0.002860285574570298,0.008079051971435547,39.875,39.85187530517578,0.015065032988786697,0.0625
fp16,question_000,16,14,2,458,0.31365951895713806,0.31445831060409546,0.0025561039801687002,0.006756037473678589,39.15625,39.139373779296875,0.015574842691421509,0.03125
fp16,question_000,16,14,3,4428,0.04244919866323471,0.04404842108488083,0.0006097110453993082,0.002614334225654602,37.15625,37.17374801635742,0.017853397876024246,0.0625
fp16,question_000,16,14,4,1865,0.00020601281721610576,0.00020324475190136582,4.176926722720964e-06,1.3569137081503868e-05,31.828125,31.795000076293945,0.011541367508471012,0.03125
fp16,question_000,16,14,5,264,5.4587955673923716e-05,5.475237048813142e-05,1.0459017403263715e-06,3.32897252519615e-06,30.5,30.483436584472656,0.013408366590738297,0.03125
fp16,question_000,16,14,6,14122,3.3630665711825714e-05,3.363663927302696e-05,6.123799494162085e-07,2.249988028779626e-06,30.015625,29.99625015258789,0.01192425936460495,0.03125
fp16,question_000,16,14,7,23415,2.8040458346367814e-06,2.7951084575761342e-06,6.002009911298956e-08,2.2967765289649833e-07,27.53125,27.50843620300293,0.012581823393702507,0.046875
fp16,question_000,16,14,8,1101,2.7177743504580576e-06,2.7470680379337864e-06,3.585187258181577e-08,1.2459872777981218e-07,27.5,27.491249084472656,0.01403113454580307,0.0625
fp16,question_000,16,14,9,78183,2.3984275685506873e-06,2.4433554699498927e-06,3.638111323311932e-08,1.2587565834110137e-07,27.375,27.374061584472656,0.015752626582980156,0.046875
fp16,question_000,16,14,10,19124,1.0155581549042836e-06,1.0379326340625994e-06,2.1728965293732472e-08,6.902644145156955e-08,26.515625,26.517812728881836,0.020494425669312477,0.0625
fp16,question_000,16,15,1,264,0.9896607398986816,0.9895111918449402,0.0001737389829941094,0.0006392598152160645,40.25,40.225624084472656,0.01799526810646057,0.0625
fp16,question_000,16,15,2,34684,0.010328037664294243,0.010477433912456036,0.00017366005340591073,0.0006389329209923744,35.6875,35.67749786376953,0.019202832132577896,0.0625
fp16,question_000,16,15,3,458,8.84734618011862e-06,9.004515050037298e-06,2.0492795727022894e-07,7.077633199514821e-07,28.625,28.61812400817871,0.023418739438056946,0.078125
fp16,question_000,16,15,4,279,1.8545043758422253e-06,1.937382194228121e-06,2.998797654640839e-08,1.1960526080656564e-07,27.0625,27.08187484741211,0.01015506312251091,0.046875
fp16,question_000,16,15,5,96507,2.7137394909004797e-07,2.743373954672279e-07,3.3511027286436956e-09,1.7230519233635277e-08,25.140625,25.127187728881836,0.013625122606754303,0.046875
fp16,question_000,16,15,6,102858,1.1137164790397946e-07,1.146688717312827e-07,2.6329627367260855e-09,1.0536226113799785e-08,24.25,24.25468635559082,0.019072802737355232,0.0625
fp16,question_000,16,15,7,20321,3.190850961232172e-08,3.170408291452986e-08,1.0904307456982565e-09,3.8683634073777284e-09,23.0,22.96875,0.026145607233047485,0.0625
